,ip,app,device,os,channel,is_attributed,days,hours,minutes,seconds
70,171729,9,1,13,334,0,7,10,31,2
71,257816,3,1,19,424,0,9,12,29,52
72,100494,64,1,8,459,0,7,13,32,3
73,5348,8,1,11,145,0,8,13,17,6
74,137208,2,1,13,212,0,7,10,24,13
75,81356,56,1,9,406,0,9,11,57,10
76,58128,15,1,13,245,0,7,12,29,28
77,71483,3,1,9,115,0,8,0,59,9
78,7521,12,1,15,409,0,9,12,14,23
79,100066,18,1,14,134,0,7,9,12,27
80,259930,15,1,28,245,0,8,11,30,35
81,30240,3,1,17,137,0,8,16,4,19
82,63109,23,1,25,153,0,9,1,43,11
83,5314,28,1,19,135,0,7,14,11,43
84,36311,3,1,19,115,0,9,0,57,14
85,44494,9,1,17,489,0,9,11,26,20
86,111021,36,1,15,373,0,8,5,49,5
87,210555,9,1,8,134,0,6,16,13,31
88,6414,2,1,47,377,0,9,14,22,16
89,123729,18,1,10,107,0,8,23,7,32
90,73040,14,1,19,401,0,7,16,49,7
91,334558,2,1,13,435,0,9,5,45,8
92,123994,1,1,19,101,0,9,14,27,57
93,94536,3,1,25,424,0,7,4,50,30
94,127351,25,1,13,259,0,7,16,27,20
95,2600,12,1,18,265,0,7,19,16,25
96,99926,12,1,13,245,0,6,18,6,5
97,114878,2,2,9,477,0,7,2,35,23
98,173847,3,1,13,452,0,8,14,57,14
99,145747,12,1,13,178,0,7,13,54,7
100,94081,9,1,18,445,0,9,2,52,27
101,74725,9,1,13,334,0,8,10,55,35
102,51895,18,1,17,107,0,9,7,26,2
103,75431,9,1,13,334,0,8,11,34,40
104,104922,14,1,3,442,0,8,4,52,24
105,173247,14,1,6,439,0,6,23,20,50
106,124006,12,1,13,242,0,7,5,15,40
107,77310,15,1,19,315,0,7,15,4,21
108,61667,8,2,97,259,0,7,5,0,39
109,118349,21,1,19,128,0,9,1,7,36
110,46650,2,1,13,237,0,9,3,54,49
111,337099,3,1,19,280,0,9,7,16,38
112,34067,1,1,15,134,0,7,15,6,6
113,61635,15,1,10,3,0,8,11,2,22
114,145260,14,1,19,480,0,8,4,48,54
115,110245,8,1,22,145,0,7,22,41,22
116,77730,15,1,13,245,0,7,16,17,45
117,108831,18,1,10,107,0,9,6,36,51
118,124794,23,1,13,153,0,8,13,46,43
119,61706,14,1,15,439,0,9,12,2,20
120,91175,23,1,13,153,0,7,1,20,11
121,82618,18,1,19,107,0,8,9,51,4
122,81970,7,1,18,101,0,9,11,33,43
123,301417,22,1,19,116,0,8,23,20,26
124,187501,12,1,41,245,0,9,1,39,34
125,20295,3,1,13,280,0,8,15,58,40
126,25885,3,1,19,424,0,9,1,47,6
127,104753,1,1,19,125,0,7,9,44,2
128,191339,28,1,19,135,0,7,10,36,50
129,103208,26,1,22,121,0,9,15,32,16
130,92092,23,1,19,153,0,7,11,52,5
131,82427,3,1,11,280,0,8,8,53,30
132,47543,13,1,19,400,0,7,13,40,51
133,335694,2,1,8,435,0,9,5,5,49
134,175559,3,1,8,442,0,8,3,42,29
135,158312,14,1,13,439,0,7,5,31,24
136,108040,3,1,19,115,0,8,9,27,5
137,85072,17,2,9,280,0,7,5,23,41
138,197093,15,1,19,265,0,7,23,36,5
139,209540,2,1,18,477,0,7,13,32,27
140,79909,21,1,4,128,0,7,19,22,18
141,199702,18,1,17,376,0,7,4,53,19
142,40372,9,1,31,442,0,8,0,40,29
143,178124,2,1,13,469,0,8,2,47,3
144,18654,18,1,27,107,0,7,8,55,35
145,20309,8,1,13,140,0,9,10,16,0
146,74640,3,1,16,424,0,9,1,9,2
147,93460,15,1,13,130,0,8,5,8,40
148,80455,3,1,15,371,0,7,1,46,16
149,104729,12,1,6,140,0,8,13,48,6
150,58485,3,1,25,280,0,8,7,14,46
151,91885,3,1,16,442,0,8,17,7,52
152,111324,12,1,13,178,0,7,3,20,24
153,27342,12,1,19,259,0,9,1,21,52
154,153208,18,1,13,107,0,7,16,5,27
155,54868,12,1,6,259,0,7,18,59,38
156,278420,2,1,3,469,0,8,11,32,53
157,204614,9,1,3,466,0,9,9,48,30
158,85172,2,1,19,435,0,9,12,38,59
159,103161,13,1,3,400,0,7,12,47,6
160,59075,14,2,30,467,0,9,11,13,17
161,239191,3,1,19,452,0,8,12,48,30
162,85839,2,1,19,435,0,7,6,57,7
163,71424,3,1,22,280,0,7,6,45,17
164,63516,27,1,13,153,0,9,12,5,34
165,37919,6,1,19,459,0,6,17,13,19
166,43809,3,1,17,280,0,8,11,11,50
167,39454,6,1,13,125,0,7,13,37,35
168,8718,12,1,13,259,0,9,2,7,48
169,58950,2,1,19,237,0,9,1,18,50
170,86812,2,1,32,401,0,7,12,1,9
171,55805,18,1,16,107,0,7,18,53,51
172,175660,20,1,13,259,0,8,1,13,51
173,29785,14,1,19,113,0,8,2,59,48
174,88881,9,1,12,466,0,9,11,46,39
175,134615,12,1,9,178,0,7,10,0,54
176,34352,3,1,19,211,0,8,6,3,58
177,124320,3,1,17,409,0,8,6,2,37
178,80306,14,1,22,401,0,8,23,52,23
179,24830,3,2,19,280,0,9,5,1,1
180,195224,12,1,19,245,0,7,7,55,58
181,72805,26,1,6,121,0,7,10,49,19
182,93498,25,1,19,259,0,9,9,58,21
183,111685,22,1,22,116,0,8,6,48,6
184,83366,1,1,17,153,0,9,2,30,2
185,94844,3,1,53,452,0,9,8,37,45
186,105311,18,1,13,121,0,9,8,21,52
187,168144,3,1,20,280,0,9,0,40,37
188,20592,3,1,17,280,0,9,5,58,55
189,100002,3,1,41,280,0,8,2,29,19
190,37515,3,1,19,280,0,8,15,59,24
191,121357,3,1,13,280,0,7,0,6,49
192,63925,22,2,17,496,0,7,8,52,29
193,83366,12,1,6,265,0,8,5,20,27
194,26995,3,1,13,280,0,7,5,49,46
195,37836,2,1,19,219,0,9,8,5,7
196,11090,3,1,19,280,0,8,9,8,18
197,65785,3,1,19,280,0,9,1,7,59
198,94765,10,1,10,377,0,8,4,28,13
199,98363,12,1,25,481,0,7,10,38,38
200,106241,2,1,53,477,0,7,3,19,48
201,112950,15,1,25,386,0,7,4,13,44
202,11668,20,1,8,478,0,8,0,24,59
203,91885,15,1,19,315,0,8,15,22,50
204,105292,8,1,17,145,0,7,17,39,28
205,108048,22,1,19,116,0,8,4,43,51
206,113751,12,1,8,259,0,7,0,54,53
207,66232,2,1,18,469,0,9,11,14,21
208,69315,3,1,1,489,0,8,8,48,26
209,64663,3,1,19,280,0,9,5,41,46
210,69197,2,1,26,469,0,7,3,24,27
211,125481,18,1,13,134,0,8,14,32,27
212,143473,14,1,13,463,0,7,20,1,14
213,169833,12,1,20,265,0,9,7,7,52
214,75634,3,1,19,280,0,8,11,48,45
215,46132,1,1,13,153,0,8,2,47,43
216,111025,18,1,1,439,0,7,9,48,50
217,62145,2,1,13,219,0,7,15,10,45
218,191961,18,1,17,107,0,7,1,59,27
219,133804,9,1,18,334,0,9,13,15,18
220,61423,20,1,19,259,0,7,6,49,57
221,49850,12,1,32,105,0,8,20,45,7
222,151507,2,1,47,435,0,7,15,20,39
223,73456,60,1,46,21,0,8,5,32,54
224,5348,58,3866,866,347,0,9,14,12,6
225,88789,9,1,30,234,0,9,4,39,56
226,37892,2,1,19,236,0,8,13,6,36
227,234832,8,1,41,145,0,8,7,27,41
228,145896,2,1,9,212,0,6,16,9,13
229,109299,15,2,65,245,0,7,22,18,35
230,12549,3,1,27,280,0,7,11,53,46
231,103443,2,1,13,237,0,7,20,13,12
232,46637,14,1,22,379,0,7,9,33,43
233,11907,15,1,41,265,0,8,5,16,11
234,98531,12,1,19,328,0,9,13,55,57
235,198014,3,1,13,173,0,7,15,54,27
236,47689,9,1,8,244,0,7,11,28,29
237,96037,12,1,19,328,0,9,4,5,59
238,3966,60,1,3,21,0,8,22,39,41
239,34725,3,1,1,280,0,8,11,35,5
240,285115,18,1,13,439,0,9,15,8,40
241,15540,9,1,13,334,0,7,10,36,33
242,49882,21,1,28,232,0,8,8,53,51
243,20411,21,1,14,128,0,7,5,40,8
244,33076,3,1,19,280,0,7,8,2,44
245,103021,3,1,19,280,0,8,14,35,35
246,313388,3,1,8,280,0,9,0,25,49
247,76453,9,1,3,466,0,9,6,45,47
248,175837,2,1,19,205,0,9,8,55,33
249,58614,26,1,16,266,0,9,14,23,15
250,49439,28,1,19,135,0,9,10,10,34
251,51544,18,1,22,439,0,9,2,54,58
252,334359,9,1,13,445,0,8,17,26,55
253,59142,3,1,19,173,0,8,13,4,27
254,246196,2,1,17,219,0,8,12,37,45
255,158559,18,1,37,107,0,7,1,20,58
256,68362,15,1,6,265,0,9,12,28,10
257,14130,3,1,26,379,0,9,14,4,12
258,24966,21,1,13,128,0,9,1,52,22
259,45745,23,1,20,153,0,9,13,43,3
260,67658,15,1,19,245,0,7,12,52,34
261,90306,9,1,19,258,0,8,14,39,49
262,23620,11,1,19,173,0,7,5,14,57
263,175837,18,1,13,439,0,8,12,55,8
264,122292,64,1,19,459,0,7,10,59,54
265,57335,3,1,8,280,0,7,5,53,23
266,159688,9,1,19,334,0,7,10,35,22
267,93226,9,1,19,442,0,7,0,48,23
268,97814,15,1,13,130,0,8,8,31,18
269,76529,14,1,13,442,0,8,11,28,4
270,51778,3,1,19,130,0,9,12,48,31
271,88743,2,1,13,237,0,7,3,25,51
272,43899,27,1,13,153,0,9,11,53,3
273,5348,18,1,8,107,0,7,2,19,31
274,50164,2,1,18,435,0,7,15,9,35
275,357463,26,1,19,262,0,9,8,32,26
276,131283,12,1,2,145,0,7,11,58,26
277,291594,7,1,55,101,0,9,10,19,1
278,87865,12,1,37,140,0,9,2,14,44
279,116067,18,1,19,121,0,9,0,36,34
280,115581,2,1,19,205,0,7,16,42,52
281,5314,18,1,19,107,0,9,9,35,33
282,81009,13,1,12,477,0,8,2,58,20
283,105170,9,1,13,232,0,7,2,8,47
284,224120,19,0,29,213,1,8,2,22,13
285,7815,12,1,17,265,0,8,14,38,25
286,30724,14,1,25,463,0,7,0,54,11
287,290743,12,1,18,265,0,9,14,20,36
288,22088,12,1,13,409,0,8,3,41,46
289,73487,3,1,8,280,0,8,12,16,9
290,38755,9,1,13,134,0,7,0,51,46
291,173141,9,1,22,215,0,9,9,20,52
292,125271,12,1,26,105,0,7,11,11,25
293,84774,15,1,22,140,0,9,11,42,14
294,195958,26,1,42,121,0,9,5,20,40
295,87998,20,1,20,478,0,8,10,39,2
296,24977,32,1,39,376,0,7,12,7,24
297,7785,11,1,20,219,0,8,15,17,31
298,27849,12,1,34,328,0,7,9,8,49
299,105475,7,1,40,101,0,9,14,5,21
300,68568,18,1,22,107,0,9,7,59,47
301,340406,12,1,16,178,0,9,9,47,4
302,28310,3,1,19,280,0,9,5,41,36
303,32001,21,1,13,128,0,7,11,19,43
304,53454,18,2,97,121,0,9,14,54,56
305,164682,14,1,13,439,0,7,7,8,43
306,7246,23,1,9,153,0,9,3,40,32
307,92844,3,1,20,452,0,7,13,46,25
308,521,64,1,19,459,0,8,9,4,43
309,10760,18,1,19,107,0,9,0,50,28
310,103340,3,1,19,130,0,8,17,8,54
311,106541,17,1,13,280,0,8,0,50,35
312,44607,12,1,15,178,0,8,5,50,32
313,52923,24,1,22,105,0,9,7,8,46
314,45841,3,1,14,280,0,9,2,20,33
315,7372,20,1,16,478,0,9,8,56,57
316,83668,12,1,47,328,0,9,6,0,55
317,18350,1,1,10,137,0,7,2,7,57
318,109764,18,3032,607,107,0,7,13,5,17
319,105475,27,1,32,153,0,7,14,36,19
320,30443,9,1,13,334,0,9,6,31,30
321,141474,3,1,13,409,0,9,13,56,52
322,134346,2,1,19,452,0,7,13,59,40
323,110595,2,1,17,258,0,7,14,17,37
324,81001,12,1,13,328,0,9,9,28,50
325,175369,20,1,13,478,0,7,14,11,13
326,114439,22,1,18,116,0,8,13,24,56
327,53960,2,1,13,205,0,9,15,41,32
328,5788,3,1,13,280,0,9,3,5,35
329,79921,20,1,8,478,0,8,23,43,6
330,59401,8,1,3,145,0,8,16,18,6
331,55776,9,1,13,127,0,8,13,13,16
332,92766,12,1,13,259,0,7,6,57,18
333,206284,12,2,79,145,0,6,17,43,5
334,174783,4,1,49,101,0,7,3,42,22
335,25321,12,1,13,265,0,9,8,16,56
336,73516,53,3866,866,347,0,9,0,58,9
337,111414,18,1,13,121,0,6,21,49,57
338,176758,11,1,20,319,0,7,1,35,46
339,144507,12,1,17,265,0,8,2,46,34
340,106279,12,1,19,178,0,7,23,58,43
341,73582,1,1,19,153,0,7,15,26,59
342,99945,3,1,19,480,0,7,2,46,48
343,93424,2,1,19,435,0,9,9,5,42
344,157650,3,1,17,130,0,7,3,51,6
345,120594,18,1,37,439,0,9,10,42,44
346,7346,2,1,37,477,0,7,14,33,56
347,86767,12,1,35,340,0,8,7,12,6
348,26934,8,1,1,145,0,7,0,15,55
349,27095,23,1,18,153,0,8,1,30,38
350,166206,15,1,19,412,0,9,1,6,43
351,78564,12,1,19,178,0,8,0,29,34
352,158511,14,1,9,480,0,7,10,12,0
353,81013,11,1,13,319,0,8,3,44,45
354,211682,18,3032,607,107,0,7,9,21,22
355,100182,11,1,25,137,0,8,17,28,19
356,95640,12,1,17,178,0,7,9,57,10
357,87879,9,1,10,134,0,6,16,14,50
358,74606,24,1,13,105,0,7,4,45,12
359,79012,3,1,4,211,0,8,18,32,19
360,84942,3,1,30,280,0,8,3,27,42
361,66272,15,1,6,245,0,7,23,28,18
362,38413,3,1,13,19,0,8,8,37,58
363,89475,14,1,27,442,0,9,9,0,33
364,33661,12,1,13,409,0,7,16,23,18
365,100929,12,1,26,424,0,8,2,43,14
366,9795,3,1,13,205,0,8,4,7,36
367,182972,3,1,19,280,0,7,3,4,16
368,162383,3,1,10,205,0,8,4,47,0
369,280918,15,1,19,3,0,8,11,44,19
370,114878,2,1,19,205,0,9,12,39,16
371,112926,3,1,17,424,0,7,1,36,11
372,2144,15,1,22,278,0,7,23,43,11
373,186269,12,1,44,265,0,6,18,57,21
374,111025,18,1,19,107,0,9,12,59,23
375,38941,2,1,19,477,0,8,16,3,29
376,92160,3,1,19,480,0,7,5,4,28
377,175051,2,1,19,243,0,7,2,23,50
378,217464,12,1,19,259,0,8,3,8,40
379,81468,21,1,17,128,0,7,3,20,59
380,60428,21,2,9,128,0,8,15,8,27
381,49431,9,2,19,127,0,8,15,32,13
382,18682,3,1,20,280,0,9,5,2,17
383,90782,9,1,19,134,0,7,0,49,14
384,44527,21,2,19,128,0,9,10,17,42
385,88756,11,1,19,360,0,9,9,14,21
386,25126,3,1,37,135,0,7,10,6,58
387,68525,15,1,11,153,0,7,7,30,51
388,111182,9,1,19,466,0,8,16,3,50
389,70098,14,1,19,442,0,7,14,32,17
390,75007,12,1,6,259,0,7,14,1,35
391,33021,3,1,40,280,0,9,0,28,26
392,8499,15,1,19,3,0,9,1,55,6
393,120111,3,1,18,409,0,9,14,22,37
394,37135,21,2,13,232,0,8,2,6,6
395,106035,2,1,13,122,0,9,14,29,21
396,99897,2,1,6,237,0,8,11,38,24
397,52413,18,1,25,107,0,8,11,55,30
398,9923,12,1,18,328,0,8,13,36,43
399,10785,9,1,32,489,0,9,3,19,7
400,4680,2,1,19,122,0,7,10,0,40
401,67884,3,1,8,424,0,7,3,39,14
402,304381,18,1,9,121,0,8,17,26,29
403,6113,28,1,19,135,0,6,18,42,18
404,114461,2,1,19,237,0,8,11,24,33
405,166443,9,1,19,244,0,9,11,16,3
406,116351,2,1,19,435,0,9,2,6,22
407,333899,6,1,32,125,0,8,16,0,46
408,119868,3,1,19,130,0,9,10,32,44
409,229907,2,1,22,477,0,8,4,5,1
410,53964,18,1,20,107,0,9,10,14,18
411,73487,3,1,47,417,0,8,14,29,34
412,105782,15,2,13,245,0,9,14,42,36
413,117867,9,1,8,234,0,9,14,26,42
414,93313,12,1,13,328,0,7,2,45,7
415,14463,18,1,19,107,0,8,12,12,10
416,141540,1,1,10,135,0,9,1,7,31
417,168224,3,1,9,280,0,8,13,20,57
418,24941,3,1,13,130,0,7,2,17,14
419,6262,3,1,8,280,0,7,8,8,10
420,44443,12,1,6,140,0,8,4,47,7
421,102301,18,1,3,121,0,9,7,17,46
422,8356,15,1,17,153,0,7,12,58,45
423,39175,9,1,18,215,0,7,14,8,15
424,47306,3,1,13,466,0,8,23,56,29
425,79881,3,1,19,205,0,8,16,56,35
426,28420,1,1,25,115,0,9,13,36,20
427,100339,3,1,13,424,0,7,19,14,20
428,69043,12,1,18,328,0,9,9,22,35
429,205574,9,1,12,466,0,8,4,22,11
430,50302,3,1,13,205,0,7,10,10,39
431,262808,15,1,18,245,0,8,13,42,7
432,43537,14,1,14,379,0,7,1,55,44
433,92922,9,1,19,442,0,9,7,6,31
434,164215,25,1,13,259,0,7,6,50,57
435,36979,24,2,13,105,0,7,11,23,19
436,339433,12,1,17,178,0,9,2,21,17
437,81514,2,1,13,477,0,7,23,14,16
438,204845,2,1,16,469,0,9,7,13,1
439,201540,14,1,13,439,0,6,17,16,12
440,92274,18,1,12,376,0,9,10,0,25
441,14639,26,1,13,121,0,6,16,7,41
442,114531,15,1,37,245,0,7,0,48,53
443,57994,9,1,13,134,0,7,23,21,22
444,290631,18,1,27,439,0,9,5,55,10
445,58524,3,1,15,480,0,9,4,58,5
446,84661,14,1,22,480,0,8,8,4,24
447,163553,18,1,19,317,0,7,4,50,16
448,100309,2,1,16,477,0,8,2,54,37
449,1067,3,1,26,409,0,7,11,59,44
450,259034,21,1,27,128,0,7,23,1,24
451,30424,18,1,19,107,0,8,10,3,34
452,121287,3,1,53,480,0,7,23,37,32
453,91048,1,1,4,134,0,8,20,31,59
454,167783,3,1,35,130,0,8,6,11,36
455,111195,3,1,8,489,0,7,9,19,57
456,117722,13,1,19,477,0,8,12,21,3
457,87167,3,1,20,280,0,9,4,28,16
458,44067,14,1,10,401,0,8,23,54,44
459,163416,14,1,13,379,0,7,1,3,27
460,67981,27,1,19,153,0,8,12,6,9
461,5621,12,1,1,160,0,7,23,10,22
462,88228,2,1,19,364,0,9,13,43,25
463,22352,3,1,13,280,0,7,6,50,27
464,85904,8,2,13,140,0,7,4,38,18
465,95750,18,1,16,439,0,8,11,26,5
466,58194,25,1,19,259,0,8,8,19,8
467,60752,2,1,23,237,0,9,15,31,52
468,30587,18,1,25,439,0,7,6,45,54
469,166181,18,1,13,439,0,7,9,13,2
470,43827,7,1,13,101,0,7,10,57,54
471,23322,12,1,15,178,0,7,10,47,55
472,85631,2,1,6,237,0,7,4,0,28
473,9281,15,1,13,386,0,9,6,9,41
474,81837,12,1,19,259,0,9,13,58,14
475,98365,13,1,19,477,0,9,12,8,54
476,125990,3,1,9,115,0,8,13,18,29
477,101650,12,1,13,328,0,9,4,6,45
478,93920,9,1,13,107,0,9,15,42,13
479,207899,3,1,25,424,0,9,0,43,13
480,63701,9,1,23,334,0,7,8,11,45
481,272894,10,1,7,113,1,8,6,10,5
482,95766,15,1,19,245,0,7,2,33,52
483,62016,12,1,27,259,0,9,5,26,28
484,107025,3,1,19,280,0,8,10,8,1
485,33924,3,1,42,211,0,9,8,33,4
486,231434,12,1,3,178,0,8,5,11,39
487,118079,2,1,19,236,0,8,11,37,21
488,141207,3,1,13,280,0,9,1,24,0
489,44458,12,1,13,328,0,7,12,21,30
490,54524,3,2,13,280,0,8,22,55,23
491,114636,12,1,23,245,0,9,2,7,4
492,359429,9,1,13,466,0,9,9,10,4
493,119289,18,1,19,107,0,8,12,46,46
494,18942,9,1,25,215,0,8,13,35,5
495,7340,2,1,13,212,0,8,16,41,15
496,122282,8,1,17,145,0,8,2,27,51
497,7435,125,0,0,110,0,8,11,24,9
498,12167,12,1,22,265,0,7,1,21,47
499,6831,12,1,9,265,0,7,7,26,20
500,83366,12,1,10,140,0,8,12,2,55
501,8401,9,2,42,258,0,6,22,5,54
502,29467,18,1,19,107,0,9,13,1,42
503,115814,1,2,9,134,0,8,0,27,11
504,181741,3,1,18,137,0,7,13,56,8
505,17572,2,1,19,452,0,7,2,34,27
506,86767,18,1,14,107,0,9,15,24,46
507,22256,17,1,13,280,0,7,3,34,0
508,194163,2,1,19,469,0,9,1,45,32
509,2511,2,1,6,317,0,8,10,28,50
510,47648,12,1,22,328,0,8,3,36,30
511,95866,14,1,13,480,0,7,7,6,52
512,114612,3,1,18,280,0,8,2,59,23
513,122688,27,1,13,153,0,8,11,56,44
514,93054,12,1,13,328,0,6,22,17,9
515,185372,12,1,13,178,0,7,2,53,53
516,73516,204,3543,748,347,0,8,14,12,37
517,82813,15,1,19,245,0,7,4,0,11
518,2539,12,1,28,328,0,9,2,22,27
519,116351,26,1,37,266,0,8,5,30,0
520,35335,21,1,41,232,0,7,11,30,57
521,73983,18,1,9,134,0,7,11,40,9
522,43233,6,1,10,125,0,9,2,33,11
523,236144,1,1,27,153,0,8,5,2,35
524,75595,9,1,22,134,0,9,0,27,25
525,253793,9,1,6,445,0,9,7,49,36
526,102255,12,1,19,178,0,7,9,1,4
527,64639,18,1,47,107,0,9,10,16,45
528,19216,1,1,17,178,0,6,22,49,59
529,23271,3,1,19,19,0,8,6,55,59
530,118125,36,1,18,110,0,9,10,39,52
531,89567,12,1,13,135,0,8,11,50,0
532,6996,1,1,9,134,0,7,22,38,34
533,29533,2,1,13,122,0,7,15,35,40
534,70522,3,1,6,137,0,7,6,14,17
535,7795,7,1,19,101,0,7,6,51,25
536,126985,2,1,19,219,0,6,17,23,48
537,49407,14,1,19,379,0,8,11,41,53
538,90500,3,1,13,280,0,9,3,47,4
539,13034,18,1,35,121,0,9,13,44,13
540,42062,12,1,16,178,0,8,5,33,58
541,43809,12,1,17,178,0,9,1,57,47
542,43537,15,1,13,265,0,7,6,46,26
543,27818,9,1,19,334,0,7,9,1,52
544,25563,64,1,19,459,0,7,18,5,18
545,101894,12,1,13,259,0,7,7,51,55
546,51871,3,1,18,280,0,8,5,47,21
547,110628,18,1,19,134,0,9,13,36,15
548,21925,10,1,6,377,0,8,17,5,32
549,209627,3,1,13,280,0,8,12,33,50
550,86285,9,1,13,244,0,7,2,8,34
551,91250,14,1,6,489,0,7,3,23,46
552,64960,3,1,19,417,0,8,0,30,2
553,86388,12,1,35,245,0,7,22,56,16
554,26682,12,1,3,259,0,7,13,31,30
555,139216,15,1,13,140,0,8,10,0,35
556,106223,2,1,13,122,0,7,17,29,22
557,361422,24,1,11,178,0,9,2,46,8
558,42240,9,1,20,145,0,8,12,1,2
559,75374,5,1,8,377,0,9,4,22,30
560,88162,18,1,18,439,0,9,13,41,39
561,46132,3,1,13,115,0,8,3,18,2
562,196018,12,1,25,205,0,9,9,26,23
563,43827,8,1,13,140,0,7,2,0,11
564,9147,7,1,18,101,0,9,6,51,50
565,106000,1,1,19,134,0,9,13,7,40
566,69605,28,1,19,135,0,9,7,35,16
567,53454,12,1,19,409,0,7,14,28,24
568,235120,23,1,19,153,0,8,15,24,35
569,46413,6,1,20,125,0,7,12,43,3
570,10785,18,1,18,107,0,8,4,14,59
571,5729,3,1,13,280,0,7,22,42,30
572,4442,15,2,9,245,0,8,12,23,9
573,22385,12,1,22,245,0,9,6,12,10
574,60381,12,1,36,140,0,9,2,14,22
575,98944,15,1,22,140,0,8,17,7,5
576,118339,11,1,35,122,0,6,17,8,39
577,125175,3,1,8,280,0,9,1,26,49
578,23986,3,1,25,280,0,9,3,9,20
579,52961,18,1,20,121,0,7,13,3,59
580,45745,6,1,13,459,0,7,17,25,40
581,108947,1,1,18,134,0,9,0,53,10
582,95766,12,1,13,140,0,9,14,24,12
583,66596,27,1,13,153,0,8,0,47,44
584,116935,18,1,8,107,0,7,23,30,24
585,25679,2,1,19,237,0,9,1,31,11
586,118284,15,1,27,265,0,8,17,38,46
587,325602,25,1,13,259,0,9,13,9,9
588,14895,3,1,13,280,0,9,4,0,9
589,71017,64,1,13,459,0,8,8,4,1
590,211747,2,1,6,477,0,8,11,26,27
591,37161,7,1,36,101,0,8,18,2,11
592,162367,19,0,99,347,0,8,23,39,29
593,2600,23,1,22,153,0,8,12,17,47
594,117989,18,1,10,107,0,9,12,21,47
595,52672,3,1,19,280,0,8,13,2,3
596,51686,8,1,25,145,0,7,8,39,46
597,85150,15,1,3,379,0,8,21,1,11
598,112291,6,1,15,459,0,9,3,59,47
599,81973,27,1,20,153,0,9,15,29,18
600,66184,9,1,13,445,0,9,3,40,2
601,201182,3,1,25,211,0,8,16,13,0
602,96021,18,1,6,107,0,8,12,9,7
603,40372,3,1,35,280,0,7,8,55,14
604,213099,3,1,25,280,0,8,14,26,0
